iter	Passed	Remaining
0	146	146449
1	147	73783
2	149	49614
3	150	37506
4	151	30137
5	152	25243
6	153	21740
7	154	19107
8	154	17042
9	155	15372
10	155	14021
11	156	12890
12	157	11942
13	157	11123
14	158	10416
15	159	9796
16	159	9246
17	160	8762
18	161	8320
19	161	7927
20	162	7567
21	163	7253
22	163	6963
23	164	6690
24	165	6436
25	165	6208
26	166	5992
27	166	5795
28	167	5608
29	168	5434
30	168	5270
31	169	5119
32	169	4976
33	170	4844
34	171	4717
35	171	4598
36	172	4485
37	172	4375
38	173	4271
39	173	4172
40	174	4080
41	175	3991
42	175	3908
43	176	3827
44	176	3750
45	177	3678
46	177	3609
47	178	3543
48	179	3480
49	180	3420
50	180	3360
51	181	3304
52	182	3252
53	182	3199
54	183	3147
55	183	3097
56	184	3050
57	185	3005
58	185	2960
59	186	2919
60	186	2877
61	187	2836
62	188	2796
63	188	2759
64	189	2722
65	189	2685
66	190	2650
67	190	2616
68	191	2583
69	192	2551
70	192	2521
71	193	2492
72	193	2463
73	194	2436
74	195	2408
75	195	2381
76	196	2354
77	197	2330
78	197	2305
79	198	2282
80	199	2260
81	199	2238
82	200	2214
83	201	2193
84	201	2173
85	202	2153
86	203	2132
87	203	2111
88	204	2091
89	204	2072
90	205	2052
91	206	2034
92	206	2016
93	207	1998
94	208	1981
95	208	1966
96	209	1950
97	210	1935
98	210	1920
99	211	1904
100	212	1889
101	212	1873
102	213	1859
103	214	1844
104	214	1830
105	215	1815
106	215	1802
107	216	1788
108	217	1774
109	217	1762
110	218	1749
111	219	1736
112	219	1724
113	220	1712
114	220	1700
115	221	1688
116	222	1675
117	222	1664
118	223	1652
119	223	1642
120	224	1630
121	225	1619
122	225	1609
123	226	1599
124	227	1589
125	227	1579
126	228	1568
127	228	1559
128	229	1549
129	229	1538
130	230	1529
131	231	1520
132	231	1510
133	232	1501
134	232	1492
135	233	1483
136	233	1474
137	234	1464
138	235	1456
139	235	1448
140	236	1440
141	236	1430
142	237	1422
143	237	1413
144	238	1406
145	239	1398
146	239	1391
147	240	1383
148	240	1375
149	241	1367
150	241	1359
151	242	1352
152	242	1345
153	243	1337
154	244	1330
155	244	1323
156	245	1316
157	245	1310
158	246	1303
159	247	1296
160	247	1289
161	248	1282
162	248	1276
163	249	1270
164	249	1263
165	250	1257
166	250	1250
167	251	1244
168	251	1238
169	252	1233
170	253	1227
171	253	1221
172	254	1216
173	254	1210
174	255	1204
175	256	1199
176	256	1194
177	257	1188
178	258	1183
179	258	1178
180	259	1173
181	259	1168
182	260	1163
183	261	1158
184	261	1152
185	262	1147
186	262	1143
187	263	1138
188	264	1133
189	264	1128
190	265	1123
191	265	1118
192	266	1113
193	266	1108
194	267	1104
195	268	1099
196	268	1095
197	269	1091
198	270	1087
199	270	1082
200	271	1078
201	271	1073
202	272	1069
203	273	1065
204	273	1061
205	274	1056
206	274	1052
207	275	1048
208	275	1043
209	276	1039
210	277	1035
211	277	1031
212	278	1027
213	278	1023
214	279	1019
215	279	1015
216	280	1011
217	280	1007
218	281	1004
219	282	1000
220	282	996
221	283	992
222	283	989
223	284	986
224	285	982
225	285	978
226	286	975
227	286	971
228	287	968
229	288	964
230	288	961
231	289	957
232	289	954
233	290	950
234	291	947
235	291	943
236	292	940
237	292	937
238	293	933
239	293	930
240	294	927
241	294	923
242	295	920
243	295	916
244	296	913
245	297	910
246	297	907
247	298	904
248	298	900
249	299	897
250	299	894
251	300	892
252	301	889
253	301	886
254	302	883
255	303	880
256	303	877
257	304	875
258	304	872
259	305	869
260	305	866
261	306	863
262	307	860
263	307	857
264	308	855
265	308	852
266	309	849
267	310	846
268	310	844
269	311	841
270	311	838
271	312	835
272	312	833
273	313	830
274	313	827
275	314	825
276	315	822
277	315	820
278	316	817
279	317	815
280	317	813
281	318	811
282	319	808
283	319	806
284	320	803
285	320	801
286	321	798
287	322	796
288	322	794
289	323	791
290	324	789
291	324	786
292	325	784
293	325	782
294	326	779
295	326	777
296	327	775
297	328	772
298	328	770
299	329	767
300	329	765
301	330	763
302	331	761
303	331	759
304	332	757
305	332	755
306	333	752
307	333	750
308	334	748
309	335	745
310	335	743
311	336	741
312	336	739
313	337	736
314	337	734
315	338	732
316	339	730
317	339	728
318	340	726
319	340	724
320	341	721
321	341	719
322	342	717
323	342	715
324	343	713
325	344	711
326	344	709
327	345	707
328	345	705
329	346	703
330	347	702
331	347	700
332	348	698
333	349	696
334	349	694
335	350	692
336	350	690
337	351	688
338	352	686
339	352	684
340	353	682
341	354	681
342	354	679
343	355	677
344	355	675
345	356	673
346	356	671
347	357	669
348	358	667
349	358	666
350	359	664
351	359	662
352	360	660
353	361	659
354	361	657
355	362	655
356	363	653
357	363	652
